"car_id","detail_id","Car_name","color","car_type","price"
"138","138","Mahindra Scorpio","white","hatchback","142742"
"139","139","volkswagen passat","green","sedan","393154"
"140","140","Jeep Wrangler","yellow","sports","449204"
"141","141","Mahindra Thar","yellow","sports","374386"
"142","142","Audi Q7","black","hatchback","230740"
"143","143","BMW M3","yellow","sports","343815"
"144","144","Mahindra Thar","white","cross-over","88050"
"145","145","Merc E Class","gray","hatchback","444353"
"146","146","Toyota innova","green","cross-over","238121"
"147","147","Volvo S60","white","sedan","42713"
"148","148","Honda City","white","cross-over","265108"
"149","149","Skoda Octavia","white","sports","333246"
"150","150","Mahindra Thar","blue","sedan","142978"
"151","151","Toyota innova","blue","suv","354085"
"152","152","Merc E Class","green","luxury","426443"
"153","153","Ford Mustang","gray","sedan","15238"
"154","154","Maruti Swift","yellow","sports","470092"
"155","155","Mahindra Thar","yellow","sports","357860"
"156","156","volkswagen polo","yellow","sedan","453091"
"157","157","Skoda Octavia","blue","luxury","317467"
"158","158","Volvo XC 90","white","hatchback","451915"
"159","159","BMW X5","white","sedan","81175"
"160","160","Hyundai Kona EV","black","cross-over","293843"
"161","161","Audi Q7","blue","cross-over","191699"
"162","162","Honda CRV","green","convertible","54055"
"163","163","MG Hector","blue","hatchback","89026"
"164","164","MG ZS EV","blue","cross-over","174372"
"165","165","Ford Mustang","blue","luxury","464564"
"166","166","Hyundai Creta","red","sedan","64815"
"167","167","Audi Q7","yellow","sports","413949"
"168","168","volkswagen polo","black","luxury","357688"
"169","169","Toyota camry","gray","hatchback","98988"
"170","170","Mahindra Thar","green","cross-over","137811"
"171","171","Jeep Compass","yellow","sedan","13542"
"172","172","Volvo S60","blue","hatchback","467480"
"173","173","Maruti Siaz","red","suv","51804"
"174","174","volkswagen polo","gray","convertible","223096"
"175","175","MG Hector","red","convertible","230603"
"176","176","Tata Nexon EV","yellow","hatchback","296096"
"177","177","Mahindra XUV500 ","red","suv","280334"
"178","178","BMW M3","yellow","hatchback","166724"
"179","179","Maruti Siaz","black","suv","492957"
"180","180","BMW Z4","green","suv","221814"
"181","181","Kia Sonet","red","sedan","94673"
"182","182","Skoda Rapid","green","sedan","464479"
"183","183","BMW Z4","red","suv","185614"
"184","184","Audi S5","yellow","cross-over","268700"
"185","185","volkswagen polo","white","cross-over","208943"
"186","186","Merc GLS","white","luxury","426015"
"187","187","Jeep Compass","black","sports","9072"
"188","188","Merc E Class","yellow","hatchback","416417"
"189","189","Honda Civic","blue","cross-over","416423"
"190","190","Honda CRV","black","luxury","12880"
"191","191","Hyundai Kona EV","black","sedan","487110"
"192","192","Honda Civic","white","sedan","363537"
"193","193","Ford Ecosport","yellow","hatchback","150077"
"194","194","BMW M3","green","sedan","169465"
"195","195","Jeep Compass","green","sedan","247996"
"196","196","Maruti Siaz","gray","cross-over","216538"
"197","197","Audi Q7","red","hatchback","231378"
"198","198","Ford Ecosport","black","luxury","56555"
"199","199","Maruti Swift","yellow","cross-over","288929"
"200","200","Audi Q7","black","hatchback","295449"
"201","201","Tata Nexon EV","blue","cross-over","313129"
"202","202","Skoda Rapid","black","cross-over","259201"
"203","203","volkswagen polo","white","sedan","121984"
"204","204","Volvo XC 90","black","luxury","370177"
"205","205","Honda Civic","blue","cross-over","12544"
"206","206","Toyota innova","yellow","luxury","311976"
"207","207","Audi S5","green","suv","267330"
"208","208","Maruti Ertiga","red","sedan","421545"
"209","209","BMW M3","white","sedan","460650"
"210","210","Tata Harrier","black","sports","439679"
"211","211","volkswagen polo","red","suv","418284"
"212","212","Hyundai Kona EV","black","luxury","131083"
"213","213","Hyundai Creta","gray","sports","136207"
"214","214","Hyundai Creta","blue","hatchback","395279"
"215","215","Maruti Siaz","gray","hatchback","30035"
"216","216","BMW M3","black","sports","16039"
"217","217","Kia Sonet","black","sports","210231"
"218","218","Jeep Compass","white","hatchback","489424"
"219","219","Volvo S60","green","luxury","320979"
"220","220","Hyundai Creta","white","luxury","92590"
"221","221","Toyota camry","white","suv","121990"
"222","222","Mahindra Scorpio","green","luxury","411173"
"223","223","BMW M3","white","sedan","463492"
"224","224","Tata Nexon EV","white","cross-over","290953"
"225","225","Mahindra XUV500 ","blue","hatchback","151209"
"226","226","volkswagen polo","white","luxury","15951"
"227","227","Ford Mustang","green","luxury","288139"
"228","228","Ford Mustang","red","hatchback","335884"
"229","229","Audi Q7","red","convertible","106307"
"230","230","Toyota camry","gray","sports","395099"
"231","231","Merc E Class","gray","sedan","230395"
"232","232","Volvo S60","gray","sedan","491513"
"233","233","Skoda Rapid","green","cross-over","252763"
"234","234","Kia Sonet","gray","sedan","195276"
"235","235","volkswagen passat","black","luxury","131801"
"236","236","BMW Z4","blue","sedan","412127"
"237","237","Honda CRV","green","suv","465767"
"238","238","Volvo S60","white","cross-over","442542"
"239","239","Maruti Siaz","black","luxury","111953"
"240","240","Merc GLS","blue","sports","213111"
"241","241","Hyundai i20","gray","hatchback","45383"
"242","242","Skoda Octavia","red","convertible","257904"
"243","243","Volvo S60","yellow","cross-over","147406"
"244","244","Ford Mustang","white","luxury","334856"
"245","245","Merc GLS","green","suv","73887"
"246","246","Skoda Rapid","yellow","hatchback","221874"
"247","247","Tata Nexon EV","green","hatchback","428082"
"248","248","Skoda Rapid","white","cross-over","49933"
"249","249","Maruti Siaz","yellow","cross-over","32544"
"250","250","Honda City","gray","luxury","234303"
"251","251","BMW Z4","black","cross-over","383824"
"252","252","Mahindra Scorpio","blue","sedan","488899"
"253","253","Honda CRV","blue","hatchback","303024"
"254","254","Merc E Class","red","suv","135894"
"255","255","Hyundai Kona EV","green","luxury","294464"
"256","256","Jeep Wrangler","black","sports","163474"
"257","257","Maruti Siaz","yellow","sports","306787"
"258","258","Audi S5","green","sports","355590"
"259","259","Tata Harrier","blue","cross-over","481505"
"260","260","Mahindra Scorpio","red","sports","463331"
"261","261","Maruti Siaz","yellow","hatchback","176095"
"262","262","Jeep Wrangler","blue","suv","238953"
"263","263","Kia Carnival","yellow","hatchback","425492"
"264","264","Tata Nexon EV","gray","convertible","493133"
"265","265","Merc E Class","yellow","luxury","18592"
"266","266","Ford Ecosport","white","cross-over","255058"
"267","267","Skoda Octavia","red","hatchback","130419"
"268","268","Audi S5","white","luxury","320837"
"269","269","Audi A4","gray","cross-over","153727"
"270","270","Hyundai i20","yellow","cross-over","378280"
"271","271","Mahindra XUV500 ","blue","luxury","399009"
"272","272","Honda Civic","blue","sports","18670"
"273","273","Maruti Swift","red","hatchback","483195"
"274","274","Merc E Class","red","sedan","442171"
"275","275","Mahindra Thar","black","convertible","42602"
"276","276","Merc E Class","red","convertible","342545"
"277","277","Maruti Ertiga","white","luxury","464345"
"278","278","Toyota camry","gray","sedan","94510"
"279","279","Hyundai Creta","gray","luxury","180147"
"280","280","volkswagen passat","blue","suv","224581"
"281","281","Tata Nexon EV","black","sports","242271"
"282","282","Toyota innova","yellow","cross-over","418072"
"283","283","Mahindra Scorpio","yellow","hatchback","262870"
"284","284","Volvo XC 90","green","hatchback","185557"
"285","285","volkswagen passat","green","sports","285709"
"286","286","Audi S5","white","luxury","337082"
"287","287","Mahindra XUV500 ","red","sports","212479"
"288","288","BMW M3","red","luxury","19367"
"289","289","Kia Sonet","gray","sedan","57711"
"290","290","volkswagen passat","black","sports","283222"
"291","291","Mahindra XUV500 ","blue","cross-over","417923"
"292","292","Mahindra XUV500 ","black","convertible","257028"
"293","293","Toyota camry","yellow","sports","42780"
"294","294","Maruti Siaz","gray","luxury","271902"
"295","295","Mahindra XUV500 ","black","suv","182519"
"296","296","Honda Civic","yellow","sports","149423"
"297","297","Skoda Rapid","green","sedan","127851"
"298","298","Audi A4","red","convertible","415270"
"299","299","Ford Ecosport","gray","hatchback","462036"
"300","300","Honda CRV","red","luxury","127651"
"301","301","BMW X5","yellow","cross-over","289299"
"302","302","Kia Sonet","gray","convertible","313532"
"303","303","BMW M3","red","sports","471133"
"304","304","Hyundai i20","black","suv","295485"
"305","305","Toyota camry","black","sports","141750"
"306","306","Hyundai Creta","white","sports","107485"
"307","307","BMW M3","black","sedan","493088"
"308","308","Hyundai i20","gray","sports","357502"
"309","309","Hyundai Kona EV","yellow","suv","19124"
"310","310","BMW X5","white","sedan","210513"
"311","311","Audi S5","gray","sports","339289"
"312","312","Honda City","red","cross-over","300782"
"313","313","Merc E Class","gray","hatchback","228132"
"314","314","Hyundai Kona EV","yellow","hatchback","211964"
"315","315","Hyundai i20","white","luxury","208559"
"316","316","Volvo S60","white","sports","442649"
"317","317","Honda CRV","black","sports","136079"
"318","318","Kia Carnival","blue","suv","408148"
"319","319","Mahindra Scorpio","gray","luxury","303795"
"320","320","MG Hector","white","cross-over","31167"
"321","321","Skoda Rapid","white","cross-over","451278"
"322","322","Honda City","white","luxury","218386"
"323","323","Hyundai Creta","yellow","luxury","272042"
"324","324","Mahindra Thar","red","convertible","373167"
"325","325","MG ZS EV","yellow","cross-over","176207"
"326","326","volkswagen passat","yellow","cross-over","371753"
"327","327","Volvo XC 90","red","cross-over","115037"
"328","328","Hyundai Kona EV","gray","hatchback","82907"
"329","329","Hyundai i20","red","luxury","406028"
"330","330","Maruti Siaz","black","cross-over","193957"
"331","331","Volvo XC 90","yellow","cross-over","105224"
"332","332","Kia Carnival","white","luxury","81654"
"333","333","Volvo S60","red","luxury","286876"
"334","334","BMW X5","yellow","hatchback","413934"
"335","335","MG Hector","blue","luxury","77610"
"336","336","BMW Z4","gray","luxury","27039"
"337","337","Audi A4","yellow","hatchback","496185"
"338","338","volkswagen polo","white","hatchback","20806"
"339","339","MG Hector","red","cross-over","439801"
"340","340","Volvo S60","red","suv","499524"
"341","341","Toyota camry","gray","sedan","360267"
"342","342","Tata Harrier","gray","hatchback","90604"
"343","343","Toyota camry","gray","suv","75262"
"344","344","Volvo XC 90","red","hatchback","14822"
"345","345","Audi A4","red","sports","184763"
"346","346","Ford Mustang","yellow","sedan","156660"
"347","347","Audi Q7","gray","sedan","463311"
"348","348","Audi Q7","white","sports","253954"
"349","349","Jeep Compass","gray","sports","457860"
"350","350","Toyota camry","gray","cross-over","389500"
"351","351","BMW X5","white","hatchback","273199"
"352","352","BMW X5","yellow","sedan","360570"
"353","353","BMW X5","white","convertible","55305"
"354","354","Mahindra Scorpio","gray","sports","475619"
"355","355","volkswagen passat","green","convertible","298573"
"356","356","Honda CRV","yellow","sports","132933"
"357","357","BMW X5","gray","luxury","361113"
"358","358","Kia Carnival","white","sedan","261971"
"359","359","Merc E Class","white","cross-over","25082"
"360","360","Maruti Siaz","blue","sedan","287340"
"361","361","Hyundai Creta","blue","sports","471552"
"362","362","Merc GLS","yellow","sedan","488631"
"363","363","Toyota innova","red","sedan","286611"
"364","364","Hyundai Kona EV","blue","sedan","406174"
"365","365","Honda Civic","white","sedan","88317"
"366","366","Skoda Octavia","gray","cross-over","109511"
"367","367","Toyota innova","white","sedan","383709"
"368","368","Ford Mustang","yellow","sedan","35646"
"369","369","Merc E Class","white","luxury","164035"
"370","370","Mahindra XUV500 ","green","luxury","271831"
"371","371","Ford Mustang","black","hatchback","183921"
"372","372","Tata Nexon EV","gray","convertible","25252"
"373","373","BMW M3","red","sedan","334158"
"374","374","Ford Ecosport","blue","cross-over","126545"
"375","375","volkswagen polo","white","luxury","95126"
"376","376","Toyota camry","green","cross-over","192003"
"377","377","BMW X5","green","sedan","217275"
"378","378","Maruti Swift","yellow","hatchback","93378"
"379","379","volkswagen passat","green","hatchback","371961"
"380","380","Hyundai Kona EV","gray","sports","260547"
"381","381","volkswagen polo","black","sports","475672"
"382","382","Honda City","gray","sedan","245807"
"383","383","Ford Ecosport","white","hatchback","482388"
"384","384","MG Hector","gray","suv","244023"
"385","385","Volvo S60","black","cross-over","147831"
"386","386","BMW M3","green","hatchback","473106"
"387","387","Hyundai Creta","green","sports","15100"
"388","388","Mahindra Thar","red","hatchback","393666"
"389","389","Mahindra Scorpio","white","suv","134997"
"390","390","Jeep Compass","green","hatchback","251906"
"391","391","Jeep Compass","blue","luxury","109896"
"392","392","Kia Sonet","yellow","suv","491895"
"393","393","Skoda Rapid","yellow","suv","74266"
"394","394","Tata Nexon EV","white","cross-over","406616"
"395","395","Merc GLS","yellow","sports","98907"
"396","396","MG Hector","yellow","hatchback","290362"
"397","397","Jeep Wrangler","white","cross-over","148928"
"398","398","Hyundai Kona EV","blue","luxury","465179"
"399","399","Merc E Class","blue","luxury","349312"
"400","400","Mahindra Thar","black","sports","284436"
"401","401","Audi Q7","blue","sports","19671"
"402","402","Skoda Rapid","blue","sedan","109841"
"403","403","Mahindra Scorpio","gray","sports","408563"
"404","404","MG ZS EV","gray","hatchback","463015"
"405","405","Skoda Rapid","green","hatchback","206244"
"406","406","Volvo S60","green","suv","6616"
"407","407","Tata Harrier","green","hatchback","55956"
"408","408","MG ZS EV","yellow","cross-over","251994"
"409","409","volkswagen passat","yellow","sedan","397589"
"410","410","Jeep Compass","black","cross-over","273284"
"411","411","volkswagen polo","black","hatchback","447183"
"412","412","Skoda Rapid","yellow","convertible","243060"
"413","413","volkswagen polo","green","luxury","187108"
"414","414","volkswagen polo","gray","luxury","54437"
"415","415","Audi A4","yellow","sports","431790"
"416","416","Maruti Siaz","gray","sedan","468667"
"417","417","Audi S5","green","hatchback","485731"
"418","418","BMW M3","black","hatchback","166020"
"419","419","Volvo S60","red","suv","92703"
"420","420","BMW Z4","white","suv","151846"
"421","421","Maruti Siaz","red","cross-over","123713"
"422","422","Hyundai i20","gray","sports","73799"
"423","423","MG Hector","green","hatchback","386743"
"424","424","Toyota camry","green","luxury","475874"
"425","425","Kia Sonet","black","sports","75566"
"426","426","Kia Sonet","yellow","cross-over","388990"
"427","427","Kia Carnival","green","sports","496108"
"428","428","Kia Carnival","white","luxury","481876"
"429","429","Mahindra Scorpio","blue","hatchback","435703"
"430","430","Hyundai i20","yellow","sports","102458"
"431","431","MG ZS EV","green","hatchback","295198"
"432","432","Honda CRV","gray","hatchback","78849"
"433","433","BMW X5","yellow","sedan","35274"
"434","434","Maruti Siaz","red","sedan","366926"
"435","435","Ford Mustang","gray","cross-over","175837"
"436","436","Skoda Rapid","yellow","hatchback","68037"
"437","437","Maruti Siaz","white","cross-over","161033"
"438","438","Tata Nexon EV","red","luxury","306057"
"439","439","Maruti Siaz","red","sports","65185"
"440","440","Audi S5","gray","suv","175575"
"441","441","Toyota camry","red","luxury","401728"
"442","442","Tata Harrier","white","cross-over","212350"
"443","443","Audi A4","white","cross-over","40550"
"444","444","Ford Mustang","green","sports","388374"
"445","445","BMW Z4","green","luxury","142278"
"446","446","Jeep Wrangler","red","hatchback","41362"
"447","447","Ford Mustang","blue","sedan","355464"
"448","448","Audi Q7","gray","luxury","142327"
"449","449","Audi Q7","red","sports","101011"
"450","450","Tata Harrier","gray","convertible","235118"
"451","451","Hyundai Creta","gray","convertible","159254"
"452","452","Audi A4","white","luxury","141520"
"453","453","Tata Nexon EV","white","sports","344300"
"454","454","Volvo XC 90","black","hatchback","86359"
"455","455","Volvo XC 90","gray","hatchback","53639"
"456","456","Volvo XC 90","black","suv","80069"
"457","457","Jeep Compass","gray","suv","77539"
"458","458","Toyota innova","green","cross-over","334213"
"459","459","Mahindra Scorpio","gray","sedan","446726"
"460","460","MG Hector","blue","sports","186902"
"461","461","Audi A4","white","sports","75507"
"462","462","Hyundai Kona EV","green","sports","434850"
"463","463","Audi A4","red","convertible","346321"
"464","464","Kia Sonet","yellow","convertible","215369"
"465","465","Maruti Siaz","red","sports","499901"
"466","466","Maruti Swift","red","hatchback","68883"
"467","467","Kia Sonet","black","cross-over","337438"
"468","468","Merc GLS","gray","hatchback","396824"
"469","469","Hyundai Creta","green","hatchback","270140"
"470","470","Merc GLS","yellow","cross-over","185449"
"471","471","MG Hector","black","hatchback","109601"
"472","472","Toyota camry","green","convertible","16709"
"473","473","MG Hector","blue","luxury","442630"
"474","474","volkswagen passat","yellow","sports","20177"
"475","475","Honda Civic","green","luxury","187046"
"476","476","Merc E Class","green","hatchback","221610"
"477","477","Volvo S60","green","luxury","320875"
"478","478","Volvo S60","black","hatchback","273916"
"479","479","Tata Nexon EV","yellow","hatchback","490790"
"480","480","BMW Z4","yellow","convertible","200100"
"481","481","Audi S5","red","sedan","463160"
"482","482","Toyota camry","yellow","sports","331279"
"483","483","MG Hector","green","hatchback","151272"
"484","484","Hyundai Kona EV","white","cross-over","36590"
"485","485","Toyota camry","blue","sports","430715"
"486","486","Merc E Class","green","sedan","222977"
"487","487","Merc GLS","blue","hatchback","116784"
"488","488","Mahindra XUV500 ","white","sports","385975"
"489","489","Volvo XC 90","blue","sports","386481"
"490","490","Hyundai i20","blue","luxury","272760"
"491","491","Audi Q7","gray","suv","492954"
"492","492","Hyundai Kona EV","white","luxury","324823"
"493","493","volkswagen polo","white","luxury","59408"
"494","494","Ford Ecosport","green","convertible","203931"
"495","495","BMW X5","gray","hatchback","353898"
"496","496","Tata Harrier","green","hatchback","399407"
"497","497","BMW Z4","red","luxury","492999"
"498","498","BMW X5","yellow","sports","62459"
"499","499","Mahindra XUV500 ","yellow","cross-over","11899"
"500","500","Audi S5","white","cross-over","227373"
"501","501","Audi S5","yellow","sports","393282"
"502","502","Tata Nexon EV","red","sports","56107"
"503","503","volkswagen polo","gray","luxury","206395"
"504","504","Skoda Octavia","blue","sedan","453225"
"505","505","Skoda Rapid","green","luxury","242592"
"506","506","Tata Nexon EV","white","luxury","24814"
"507","507","Audi Q7","red","hatchback","365733"
"508","508","BMW Z4","red","hatchback","155351"
"509","509","BMW Z4","gray","luxury","326912"
"510","510","Maruti Ertiga","yellow","sedan","415789"
"511","511","Merc GLS","red","sedan","175477"
"512","512","Maruti Swift","white","sports","255901"
"513","513","Audi S5","black","sports","63314"
"514","514","Ford Mustang","gray","suv","486594"
"515","515","Toyota innova","yellow","sports","47090"
"516","516","Maruti Swift","yellow","suv","171703"
"517","517","Toyota innova","blue","suv","176085"
"518","518","Hyundai i20","white","luxury","120931"
"519","519","Maruti Siaz","black","suv","230325"
"520","520","Maruti Swift","gray","hatchback","150389"
"521","521","Audi Q7","red","cross-over","325796"
"522","522","Hyundai Kona EV","blue","luxury","237686"
"523","523","Maruti Swift","gray","luxury","436278"
"524","524","Merc GLS","red","sports","356880"
"525","525","Tata Nexon EV","blue","cross-over","100377"
"526","526","MG ZS EV","red","cross-over","466404"
"527","527","Honda City","gray","sedan","216279"
"528","528","Toyota innova","white","sports","309748"
"529","529","Audi Q7","green","luxury","215276"
"530","530","Mahindra XUV500 ","black","luxury","457523"
"531","531","BMW Z4","white","cross-over","14362"
"532","532","Honda CRV","black","sedan","436549"
"533","533","Maruti Siaz","yellow","sedan","117526"
"534","534","Toyota camry","blue","hatchback","282950"
"535","535","Tata Nexon EV","yellow","cross-over","239373"
"536","536","Kia Sonet","yellow","hatchback","26335"
"537","537","Skoda Octavia","gray","sedan","407821"
"538","538","volkswagen passat","yellow","sedan","495509"
"539","539","Merc E Class","blue","cross-over","446064"
"540","540","Toyota innova","red","cross-over","205210"
"541","541","Merc GLS","white","sedan","468266"
"542","542","Jeep Compass","yellow","luxury","344970"
"543","543","Kia Carnival","green","sports","304124"
"544","544","Honda Civic","green","hatchback","435381"
"545","545","Mahindra Scorpio","gray","sedan","443431"
"546","546","Audi A4","blue","suv","20050"
"547","547","Honda City","yellow","hatchback","316977"
"548","548","Ford Ecosport","yellow","cross-over","296797"
"549","549","Kia Sonet","white","suv","404682"
"550","550","Toyota innova","green","sedan","397940"
"551","551","volkswagen passat","red","sports","498479"
"552","552","Audi A4","blue","cross-over","127655"
"553","553","Hyundai Kona EV","blue","luxury","262078"
"554","554","Jeep Wrangler","red","sports","162090"
"555","555","Audi S5","white","convertible","449261"
"556","556","Toyota camry","blue","cross-over","489216"
"557","557","BMW M3","blue","hatchback","240864"
"558","558","Volvo S60","red","hatchback","64586"
"559","559","BMW X5","gray","hatchback","195140"
"560","560","Honda CRV","yellow","cross-over","232245"
"561","561","Jeep Compass","white","cross-over","387537"
"562","562","Kia Carnival","red","hatchback","34088"
"563","563","Tata Nexon EV","blue","hatchback","111802"
"564","564","BMW M3","white","sports","79697"
"565","565","Jeep Compass","red","luxury","223793"
"566","566","Tata Harrier","green","luxury","223572"
"567","567","Ford Ecosport","black","sedan","125992"
"568","568","Kia Carnival","blue","suv","475608"
"569","569","Honda Civic","blue","cross-over","396613"
"570","570","MG ZS EV","blue","sports","67241"
"571","571","Kia Carnival","yellow","suv","153560"
"572","572","Mahindra Scorpio","red","sedan","69186"
"573","573","Merc E Class","green","convertible","163564"
"574","574","BMW X5","white","cross-over","498326"
"575","575","BMW M3","red","suv","239205"
"576","576","Toyota innova","gray","hatchback","413344"
"577","577","Maruti Siaz","gray","cross-over","88251"
"578","578","Toyota camry","gray","hatchback","396423"
"579","579","Hyundai Creta","red","suv","387206"
"580","580","MG Hector","black","cross-over","390376"
"581","581","Kia Sonet","gray","sports","430736"
"582","582","Audi A4","gray","hatchback","375340"
"583","583","Mahindra XUV500 ","blue","hatchback","272190"
"584","584","Kia Sonet","yellow","sports","160777"
"585","585","Skoda Rapid","white","luxury","10650"
"586","586","Honda Civic","green","suv","77867"
"587","587","Hyundai Creta","green","sedan","94945"
"588","588","volkswagen passat","yellow","cross-over","188856"
