"details_id","year_of_manuf","fuel_type","no_of_seats","transmission_type"
"170","2019","Diesel","4","Auto"
"171","2016","Electric","8","Manual"
"172","2015","CNG","7","Auto"
"173","2014","Diesel","4","Auto"
"174","2018","Electric","4","Auto"
"175","2017","Diesel","6","Manual"
"176","2013","CNG","8","Auto"
"177","2018","Diesel","5","Auto"
"178","2015","Diesel","7","Manual"
"179","2017","Electric","6","Manual"
"180","2014","Petrol","5","Manual"
"181","2019","Electric","6","Manual"
"182","2012","Diesel","6","Manual"
"183","2015","Petrol","7","Manual"
"184","2015","CNG","5","Manual"
"185","2017","Diesel","6","Manual"
"186","2019","Diesel","5","Auto"
"187","2018","Petrol","6","Manual"
"188","2013","Petrol","7","Manual"
"189","2014","Diesel","5","Manual"
"190","2016","Electric","7","Auto"
"191","2015","CNG","6","Auto"
"192","2013","Electric","8","Auto"
"193","2019","CNG","6","Auto"
"194","2017","Diesel","5","Manual"
"195","2018","Petrol","8","Auto"
"196","2018","CNG","6","Auto"
"197","2016","Electric","7","Auto"
"198","2019","Diesel","5","Auto"
"199","2013","Diesel","5","Manual"
"200","2019","Electric","7","Manual"
"201","2016","Diesel","5","Auto"
"202","2015","CNG","5","Auto"
"203","2018","Electric","7","Auto"
"204","2015","Diesel","5","Manual"
"205","2018","CNG","4","Auto"
"206","2015","Diesel","4","Auto"
"207","2016","Petrol","8","Manual"
"208","2015","CNG","5","Manual"
"209","2015","Diesel","7","Auto"
"210","2014","CNG","7","Auto"
"211","2016","Diesel","6","Auto"
"212","2012","CNG","7","Auto"
"213","2018","Petrol","8","Auto"
"214","2015","Diesel","5","Manual"
"215","2016","CNG","6","Manual"
"216","2016","CNG","4","Auto"
"217","2019","Diesel","5","Auto"
"218","2019","CNG","7","Auto"
"219","2018","CNG","5","Auto"
"220","2017","Diesel","5","Manual"
"221","2017","Diesel","7","Manual"
"222","2016","CNG","7","Manual"
"223","2018","Diesel","5","Manual"
"224","2014","Petrol","5","Auto"
"225","2013","Petrol","7","Manual"
"226","2018","Petrol","6","Auto"
"227","2016","CNG","7","Manual"
"228","2016","CNG","5","Auto"
"229","2017","Petrol","5","Manual"
"230","2019","CNG","8","Auto"
"231","2017","CNG","5","Auto"
"232","2019","Diesel","4","Manual"
"233","2017","CNG","5","Manual"
"234","2019","Diesel","6","Manual"
"235","2015","Electric","4","Auto"
"236","2013","Diesel","5","Manual"
"237","2016","CNG","4","Auto"
"238","2019","Petrol","7","Auto"
"239","2018","CNG","5","Auto"
"240","2019","Petrol","7","Manual"
"241","2013","CNG","8","Manual"
"242","2015","Diesel","5","Auto"
"243","2014","Electric","5","Auto"
"244","2016","Electric","6","Auto"
"245","2016","CNG","8","Manual"
"246","2012","CNG","7","Manual"
"247","2017","CNG","6","Manual"
"248","2019","Electric","5","Auto"
"249","2015","Electric","6","Manual"
"250","2020","Petrol","5","Manual"
"251","2015","Petrol","4","Manual"
"252","2015","Electric","7","Auto"
"253","2019","Diesel","6","Manual"
"254","2015","Diesel","6","Auto"
"255","2012","Diesel","5","Auto"
"256","2016","CNG","5","Auto"
"257","2015","CNG","8","Manual"
"258","2018","Petrol","7","Manual"
"259","2014","Diesel","5","Auto"
"260","2014","CNG","7","Auto"
"261","2014","Diesel","7","Auto"
"262","2018","Electric","4","Manual"
"263","2017","Electric","6","Auto"
"264","2015","Electric","8","Manual"
"265","2014","CNG","7","Manual"
"266","2012","Diesel","8","Manual"
"267","2015","Diesel","4","Manual"
"268","2019","CNG","4","Manual"
"269","2020","CNG","7","Auto"
"270","2013","Petrol","7","Manual"
"271","2013","CNG","8","Manual"
"272","2019","Diesel","8","Auto"
"273","2020","Petrol","7","Auto"
"274","2016","CNG","7","Auto"
"275","2018","Diesel","6","Auto"
"276","2014","Electric","6","Auto"
"277","2013","Diesel","7","Manual"
"278","2019","CNG","6","Manual"
"279","2014","CNG","5","Auto"
"280","2020","CNG","6","Auto"
"281","2018","Diesel","6","Auto"
"282","2013","Diesel","5","Auto"
"283","2015","Petrol","6","Manual"
"284","2013","Diesel","6","Auto"
"285","2017","CNG","4","Manual"
"286","2013","Electric","5","Manual"
"287","2015","Diesel","5","Auto"
"288","2019","Diesel","8","Manual"
"289","2014","Petrol","8","Auto"
"290","2015","CNG","6","Manual"
"291","2013","Diesel","8","Auto"
"292","2015","Diesel","6","Auto"
"293","2017","CNG","7","Manual"
"294","2014","Petrol","5","Manual"
"295","2018","Diesel","6","Auto"
"296","2015","Petrol","6","Manual"
"297","2016","CNG","7","Auto"
"298","2012","CNG","7","Manual"
"299","2019","Diesel","7","Auto"
"300","2017","Electric","7","Auto"
"301","2015","Petrol","7","Auto"
"302","2016","CNG","7","Auto"
"303","2012","Electric","6","Auto"
"304","2016","Electric","5","Auto"
"305","2017","CNG","7","Auto"
"306","2016","Petrol","4","Manual"
"307","2014","Diesel","7","Manual"
"308","2018","Petrol","7","Auto"
"309","2017","Petrol","7","Manual"
"310","2020","Diesel","7","Manual"
"311","2016","CNG","5","Auto"
"312","2016","CNG","5","Manual"
"313","2016","CNG","4","Manual"
"314","2012","CNG","7","Manual"
"315","2015","Petrol","6","Manual"
"316","2017","CNG","6","Manual"
"317","2018","Petrol","5","Manual"
"318","2019","Diesel","7","Manual"
"319","2017","Diesel","6","Auto"
"320","2013","Electric","7","Manual"
"321","2013","Electric","8","Auto"
"322","2015","Petrol","7","Auto"
"323","2017","CNG","7","Auto"
"324","2017","Diesel","5","Auto"
"325","2018","Diesel","5","Manual"
"326","2020","Diesel","6","Manual"
"327","2012","Diesel","6","Manual"
"328","2012","Diesel","8","Manual"
"329","2015","Petrol","5","Manual"
"330","2015","Diesel","7","Manual"
"331","2014","Petrol","7","Auto"
"332","2013","Petrol","7","Auto"
"333","2018","Diesel","5","Auto"
"334","2019","CNG","6","Auto"
"335","2016","CNG","6","Auto"
"336","2012","Diesel","6","Manual"
"337","2016","Electric","5","Auto"
"338","2016","Electric","5","Auto"
"339","2014","Diesel","8","Auto"
"340","2014","Diesel","5","Auto"
"341","2013","Electric","6","Manual"
"342","2012","Diesel","5","Manual"
"343","2017","Diesel","5","Auto"
"344","2012","Electric","6","Auto"
"345","2017","Electric","7","Manual"
"346","2017","Electric","8","Manual"
"347","2020","Petrol","6","Auto"
"348","2017","Electric","6","Auto"
"349","2014","CNG","7","Manual"
"350","2019","CNG","4","Manual"
"351","2017","Diesel","7","Manual"
"352","2016","Diesel","8","Manual"
"353","2018","Electric","6","Auto"
"354","2015","Electric","7","Auto"
"355","2012","Diesel","4","Manual"
"356","2020","CNG","5","Manual"
"357","2014","CNG","7","Manual"
"358","2013","Diesel","8","Manual"
"359","2013","Diesel","7","Auto"
"360","2020","CNG","6","Auto"
"361","2016","CNG","7","Auto"
"362","2013","Diesel","6","Manual"
"363","2014","CNG","4","Manual"
"364","2018","Diesel","4","Auto"
"365","2017","Diesel","5","Auto"
"366","2019","CNG","5","Auto"
"367","2017","Electric","6","Manual"
"368","2013","Diesel","7","Manual"
"369","2019","Diesel","8","Auto"
"370","2016","CNG","5","Manual"
"371","2017","CNG","6","Manual"
"372","2017","Diesel","4","Auto"
"373","2015","Petrol","7","Auto"
"374","2020","Electric","6","Manual"
"375","2018","Diesel","6","Auto"
"376","2018","Diesel","7","Manual"
"377","2014","CNG","6","Auto"
"378","2013","Petrol","5","Auto"
"379","2013","Electric","6","Manual"
"380","2013","CNG","6","Manual"
"381","2016","Petrol","5","Auto"
"382","2013","Petrol","5","Auto"
"383","2014","CNG","7","Auto"
"384","2019","Diesel","5","Auto"
"385","2013","Diesel","7","Manual"
"386","2017","Diesel","7","Manual"
"387","2017","Petrol","6","Manual"
"388","2014","Diesel","7","Manual"
"389","2019","Electric","7","Auto"
"390","2020","CNG","7","Auto"
"391","2017","Diesel","8","Manual"
"392","2016","Electric","6","Manual"
"393","2017","Petrol","7","Auto"
"394","2020","Electric","8","Auto"
"395","2015","CNG","4","Manual"
"396","2014","Diesel","7","Auto"
"397","2013","Petrol","5","Auto"
"398","2013","CNG","7","Auto"
"399","2017","CNG","5","Manual"
"400","2015","Diesel","5","Auto"
"401","2018","CNG","5","Auto"
"402","2012","Petrol","7","Manual"
"403","2014","Diesel","5","Manual"
"404","2016","CNG","5","Manual"
"405","2017","Diesel","6","Auto"
"406","2020","CNG","4","Manual"
"407","2015","Petrol","5","Auto"
"408","2016","Diesel","7","Manual"
"409","2017","Petrol","8","Manual"
"410","2017","Petrol","4","Auto"
"411","2016","Electric","7","Auto"
"412","2020","CNG","4","Manual"
"413","2015","Petrol","5","Auto"
"414","2019","Petrol","7","Auto"
"415","2019","Electric","7","Manual"
"416","2016","Diesel","6","Auto"
"417","2020","Petrol","6","Manual"
"418","2013","Petrol","8","Manual"
"419","2017","Diesel","5","Manual"
"420","2018","CNG","6","Manual"
"421","2013","Diesel","5","Auto"
"422","2017","Diesel","6","Manual"
"423","2016","CNG","4","Auto"
"424","2017","Diesel","7","Manual"
"425","2017","CNG","5","Auto"
"426","2015","Diesel","7","Auto"
"427","2014","CNG","5","Manual"
"428","2017","Petrol","6","Auto"
"429","2014","CNG","6","Manual"
"430","2016","CNG","8","Manual"
"431","2012","Electric","7","Auto"
"432","2016","Petrol","8","Manual"
"433","2017","Petrol","7","Manual"
"434","2015","Diesel","5","Auto"
"435","2017","CNG","8","Auto"
"436","2015","Electric","7","Auto"
"437","2014","Petrol","7","Manual"
"438","2015","Petrol","7","Manual"
"439","2015","CNG","6","Auto"
"440","2020","Electric","5","Manual"
"441","2019","Diesel","5","Auto"
"442","2017","CNG","4","Auto"
"443","2016","CNG","5","Manual"
"444","2013","CNG","5","Manual"
"445","2014","CNG","4","Auto"
"446","2014","Diesel","8","Auto"
"447","2013","Electric","4","Manual"
"448","2013","Diesel","4","Auto"
"449","2016","Diesel","6","Manual"
"450","2018","CNG","7","Auto"
"451","2017","Electric","6","Manual"
"452","2017","CNG","7","Auto"
"453","2014","CNG","5","Auto"
"454","2019","CNG","6","Manual"
"455","2015","Electric","5","Manual"
"456","2014","Diesel","4","Auto"
"457","2019","Diesel","5","Manual"
"458","2019","CNG","5","Auto"
"459","2019","Electric","6","Auto"
"460","2019","Diesel","5","Auto"
"461","2019","Electric","4","Auto"
"462","2013","Petrol","7","Manual"
"463","2016","Electric","7","Auto"
"464","2013","CNG","5","Auto"
"465","2014","Electric","7","Auto"
"466","2017","CNG","7","Manual"
"467","2014","CNG","7","Auto"
"468","2018","Electric","5","Manual"
"469","2017","Petrol","7","Manual"
"470","2020","CNG","7","Auto"
"471","2017","Diesel","7","Manual"
"472","2014","Diesel","6","Auto"
"473","2018","CNG","5","Manual"
"474","2015","Petrol","4","Auto"
"475","2015","CNG","5","Auto"
"476","2016","CNG","8","Auto"
"477","2013","CNG","5","Manual"
"478","2019","Diesel","5","Auto"
"479","2020","CNG","7","Manual"
"480","2013","CNG","7","Manual"
"481","2012","CNG","7","Auto"
"482","2017","Electric","7","Auto"
"483","2013","Petrol","6","Manual"
"484","2018","Electric","7","Manual"
"485","2013","Diesel","7","Auto"
"486","2017","Electric","6","Auto"
"487","2014","Electric","7","Auto"
"488","2019","CNG","6","Auto"
"489","2014","Diesel","6","Manual"
"490","2016","CNG","4","Auto"
"491","2017","Diesel","5","Auto"
"492","2019","Diesel","4","Manual"
"493","2018","Electric","7","Manual"
"494","2016","Diesel","7","Manual"
"495","2014","CNG","7","Auto"
"496","2015","Diesel","6","Auto"
"497","2019","Electric","4","Auto"
"498","2017","Electric","4","Auto"
"499","2015","Diesel","7","Manual"
"500","2016","Diesel","7","Auto"
"501","2012","CNG","8","Auto"
"502","2018","Diesel","8","Auto"
"503","2016","Petrol","7","Auto"
"504","2015","CNG","5","Manual"
"505","2015","Diesel","8","Manual"
"506","2015","Diesel","6","Auto"
"507","2014","CNG","6","Auto"
"508","2014","CNG","4","Manual"
"509","2015","Diesel","4","Auto"
"510","2014","CNG","5","Auto"
"511","2019","Diesel","7","Manual"
"512","2020","Diesel","5","Auto"
"513","2014","CNG","7","Auto"
"514","2020","Electric","7","Manual"
"515","2015","Diesel","7","Manual"
"516","2018","CNG","8","Manual"
"517","2019","CNG","7","Auto"
"518","2020","Electric","5","Manual"
"519","2018","Petrol","5","Auto"
"520","2016","Electric","5","Auto"
"521","2020","Diesel","5","Manual"
"522","2019","Diesel","8","Auto"
"523","2016","Diesel","5","Auto"
"524","2019","CNG","4","Manual"
"525","2018","Petrol","4","Auto"
"526","2012","Petrol","6","Auto"
"527","2013","Diesel","5","Auto"
"528","2017","Diesel","5","Auto"
"529","2016","Diesel","7","Manual"
"530","2019","Diesel","7","Manual"
"531","2015","Electric","8","Manual"
"532","2014","CNG","4","Auto"
"533","2019","Electric","6","Auto"
"534","2013","Diesel","6","Manual"
"535","2017","CNG","7","Auto"
"536","2016","Diesel","8","Auto"
"537","2016","Electric","6","Auto"
"538","2017","Electric","7","Manual"
"539","2016","Electric","8","Manual"
"540","2012","CNG","6","Auto"
"541","2018","CNG","8","Manual"
"542","2013","Diesel","6","Auto"
"543","2013","CNG","5","Auto"
"544","2015","Diesel","6","Auto"
"545","2014","CNG","7","Manual"
"546","2012","Electric","5","Manual"
"547","2018","Diesel","6","Auto"
"548","2018","Diesel","4","Auto"
"549","2019","Diesel","5","Auto"
"550","2014","Electric","7","Manual"
"551","2015","CNG","8","Auto"
"552","2015","Diesel","4","Auto"
"553","2018","CNG","4","Manual"
"554","2019","Electric","8","Auto"
"555","2015","Electric","5","Manual"
"556","2014","CNG","8","Manual"
"557","2017","CNG","4","Auto"
"558","2014","Electric","6","Auto"
"559","2015","Diesel","7","Auto"
"560","2015","CNG","7","Manual"
"561","2014","Petrol","5","Manual"
"562","2018","CNG","5","Manual"
"563","2020","Diesel","5","Auto"
"564","2014","CNG","4","Auto"
"565","2015","CNG","7","Manual"
"566","2015","Electric","7","Auto"
"567","2017","CNG","7","Manual"
"568","2016","Diesel","7","Manual"
"569","2017","Diesel","5","Manual"
"570","2014","CNG","7","Manual"
"571","2015","Electric","5","Manual"
"572","2018","CNG","5","Auto"
"573","2015","CNG","5","Auto"
"574","2018","Petrol","5","Manual"
"575","2016","CNG","6","Auto"
"576","2013","CNG","7","Auto"
"577","2016","Petrol","4","Manual"
"578","2014","Electric","6","Manual"
"579","2013","Petrol","4","Auto"
"580","2017","CNG","8","Manual"
"581","2014","Diesel","4","Manual"
"582","2017","CNG","7","Manual"
"583","2018","Petrol","7","Auto"
"584","2019","Petrol","5","Auto"
"585","2012","CNG","6","Auto"
"586","2019","CNG","6","Manual"
"587","2014","CNG","6","Auto"
"588","2018","CNG","5","Manual"
"589","2019","CNG","7","Auto"
"590","2020","CNG","6","Manual"
"591","2012","Petrol","5","Auto"
"592","2013","Electric","7","Auto"
"593","2016","Electric","8","Auto"
"594","2014","CNG","7","Manual"
"595","2017","Diesel","8","Manual"
"596","2015","Diesel","7","Auto"
"597","2013","Diesel","6","Auto"
"598","2017","Electric","7","Manual"
"599","2018","Diesel","6","Auto"
"600","2019","CNG","7","Manual"
"601","2019","CNG","5","Auto"
"602","2015","Electric","7","Manual"
"603","2018","Electric","4","Auto"
"604","2013","Electric","4","Auto"
"605","2015","Petrol","7","Auto"
"606","2015","Diesel","5","Manual"
"607","2016","CNG","5","Manual"
"608","2012","Diesel","7","Manual"
"609","2017","CNG","7","Manual"
"610","2012","CNG","6","Manual"
"611","2018","CNG","7","Manual"
"612","2017","CNG","5","Auto"
"613","2019","Electric","5","Auto"
"614","2016","Diesel","4","Auto"
"615","2012","Diesel","6","Manual"
"616","2016","Petrol","4","Auto"
"617","2013","CNG","6","Manual"
"618","2019","Diesel","5","Manual"
"619","2016","Diesel","7","Auto"
"620","2019","CNG","5","Manual"
"621","2017","Petrol","7","Auto"
"622","2016","Electric","7","Auto"
"623","2013","Electric","8","Manual"
"624","2016","Petrol","7","Manual"
"625","2018","Diesel","8","Auto"
"626","2014","CNG","4","Manual"
"627","2016","Petrol","4","Manual"
"628","2013","Electric","5","Auto"
"629","2013","CNG","6","Manual"
"630","2014","CNG","5","Manual"
"631","2016","Petrol","4","Auto"
"632","2012","Diesel","5","Manual"
"633","2017","Diesel","4","Auto"
"634","2015","Diesel","7","Manual"
"635","2015","Petrol","6","Manual"
"636","2013","CNG","6","Auto"
"637","2015","CNG","4","Auto"
"638","2019","Diesel","6","Auto"
"639","2017","Diesel","5","Auto"
"640","2018","CNG","6","Manual"
"641","2019","Diesel","8","Auto"
"642","2018","Diesel","7","Auto"
"643","2017","CNG","7","Auto"
"644","2016","Diesel","5","Auto"
"645","2018","Diesel","8","Manual"
"646","2017","Petrol","5","Manual"
"647","2015","CNG","6","Auto"
"648","2018","Diesel","8","Auto"
"649","2016","CNG","5","Manual"
"650","2016","CNG","6","Manual"
"651","2014","Petrol","6","Manual"
"652","2015","CNG","8","Manual"
"653","2013","CNG","7","Manual"
"654","2012","CNG","5","Manual"
"655","2015","Diesel","6","Auto"
"656","2014","Diesel","6","Auto"
"657","2016","Petrol","7","Manual"
"658","2019","Diesel","6","Manual"
"659","2014","Electric","4","Auto"
"660","2014","Electric","5","Manual"
"661","2016","CNG","8","Manual"
"662","2013","CNG","5","Auto"
"663","2013","CNG","4","Manual"
"664","2019","Petrol","5","Manual"
"665","2014","CNG","5","Manual"
"666","2020","Electric","8","Auto"
"667","2016","CNG","7","Manual"
"668","2014","Petrol","8","Auto"
"669","2019","Diesel","6","Auto"
"670","2019","Diesel","6","Auto"
"671","2018","Electric","4","Auto"
"672","2019","Diesel","8","Manual"
"673","2020","CNG","7","Manual"
"674","2016","Diesel","4","Manual"
"675","2017","Electric","7","Manual"
"676","2018","Diesel","7","Auto"
"677","2014","Diesel","4","Manual"
"678","2020","Diesel","7","Manual"
"679","2013","CNG","7","Auto"
"680","2014","CNG","7","Manual"
"681","2020","Electric","7","Manual"
"682","2019","CNG","5","Auto"
"683","2018","CNG","4","Auto"
"684","2015","CNG","5","Auto"
"685","2015","CNG","4","Auto"
"686","2016","CNG","7","Manual"
"687","2013","Diesel","6","Auto"
"688","2013","CNG","6","Manual"
"689","2015","CNG","6","Auto"
"690","2018","Diesel","5","Auto"
"691","2016","Electric","8","Auto"
"692","2016","Petrol","5","Auto"
"693","2015","Diesel","6","Auto"
"694","2019","Electric","5","Auto"
"695","2019","Petrol","7","Auto"
"696","2016","Diesel","7","Auto"
"697","2013","Diesel","4","Auto"
"698","2013","Electric","5","Manual"
"699","2012","CNG","6","Manual"
"700","2014","Diesel","4","Auto"
"701","2015","Electric","6","Auto"
"702","2017","Petrol","5","Manual"
"703","2013","CNG","5","Auto"
"704","2015","CNG","6","Manual"
"705","2015","CNG","5","Auto"
"706","2016","Diesel","5","Manual"
"707","2016","CNG","8","Auto"
"708","2019","CNG","5","Manual"
"709","2017","CNG","5","Manual"
"710","2017","Diesel","4","Auto"
"711","2018","Diesel","6","Auto"
"712","2016","Diesel","4","Auto"
"713","2017","Petrol","7","Manual"
"714","2016","Electric","6","Auto"
"715","2013","CNG","7","Auto"
"716","2020","Diesel","5","Auto"
"717","2016","Petrol","5","Manual"
"718","2014","CNG","6","Auto"
"719","2019","CNG","6","Manual"
"720","2015","Petrol","4","Manual"
"721","2017","Diesel","7","Auto"
"722","2013","Petrol","5","Auto"
"723","2016","CNG","7","Auto"
"724","2014","Electric","8","Manual"
"725","2017","Diesel","8","Auto"
"726","2019","Petrol","8","Auto"
"727","2014","CNG","5","Manual"
"728","2015","Petrol","6","Manual"
"729","2017","Diesel","5","Manual"
"730","2014","Diesel","7","Auto"
"731","2015","Diesel","6","Manual"
"732","2014","Electric","6","Auto"
"733","2020","Electric","7","Auto"
"734","2018","CNG","6","Manual"
"735","2015","Electric","4","Manual"
"736","2016","Petrol","8","Auto"
"737","2017","Petrol","4","Auto"
"738","2015","Petrol","5","Manual"
"739","2020","CNG","7","Auto"
"740","2019","Petrol","6","Auto"
"741","2015","Petrol","8","Manual"
"742","2019","CNG","6","Auto"
"743","2016","Diesel","5","Auto"
"744","2019","Electric","5","Manual"
"745","2013","CNG","6","Manual"
"746","2015","CNG","8","Manual"
"747","2017","Electric","5","Manual"
"748","2012","Diesel","5","Auto"
"749","2020","Diesel","6","Manual"
"750","2017","CNG","5","Manual"
"751","2012","Electric","6","Auto"
"752","2019","CNG","7","Manual"
"753","2015","Petrol","5","Auto"
"754","2018","CNG","4","Auto"
"755","2014","Diesel","8","Manual"
"756","2013","Diesel","4","Manual"
"757","2020","Diesel","8","Manual"
"758","2020","CNG","7","Manual"
"759","2016","Diesel","7","Auto"
"760","2019","Diesel","8","Manual"
"761","2012","CNG","5","Auto"
"762","2019","CNG","6","Auto"
"763","2016","Diesel","6","Manual"
"764","2014","Electric","7","Auto"
"765","2018","Electric","5","Manual"
"766","2014","Electric","4","Auto"
"767","2018","Diesel","6","Auto"
"768","2016","Petrol","5","Auto"
"769","2013","CNG","4","Auto"
"770","2012","Diesel","5","Manual"
"771","2016","CNG","7","Auto"
"772","2015","Diesel","7","Manual"
"773","2013","CNG","7","Manual"
"774","2016","CNG","6","Manual"
"775","2012","CNG","8","Manual"
"776","2019","Diesel","4","Auto"
"777","2015","Diesel","6","Manual"
"778","2014","Diesel","6","Auto"
"779","2019","CNG","7","Manual"
"780","2019","Diesel","4","Manual"
"781","2015","CNG","5","Manual"
"782","2012","Diesel","7","Auto"
"783","2014","CNG","4","Manual"
"784","2013","Electric","6","Auto"
"785","2014","CNG","6","Auto"
"786","2016","CNG","4","Auto"
"787","2019","Diesel","4","Manual"
"788","2016","Diesel","7","Manual"
"789","2016","Diesel","7","Manual"
"790","2014","CNG","7","Manual"
"791","2016","Electric","6","Manual"
"792","2018","CNG","5","Auto"
"793","2017","CNG","7","Auto"
"794","2017","Electric","7","Manual"
"795","2014","Petrol","7","Auto"
"796","2014","CNG","6","Manual"
"797","2015","Diesel","7","Manual"
